study_region,population,genetic_region,gnomad_labeled_subpop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
Europe,Russian,EUR,russian,-0.12983,-0.19482,-0.022153,0.067207,-0.0087082,0.00014498,-0.095197,-0.0069739,-0.0028671,-0.028651,0.02155,-0.02904,0.0045707,-0.0084106,-0.0024887,-0.0038275,-0.0053962,0.017943,-0.0020032,-0.008484
Europe,Russian,EUR,russian,-0.13062,-0.18834,-0.020043,0.068744,-0.0037816,0.0032691,-0.093978,-0.0025857,-0.0083528,-0.036648,0.022701,-0.030291,0.010856,-0.0018152,-0.00073539,-0.0031059,-0.01019,0.021358,0.001409,-0.0055926
Europe,Russian,EUR,russian,-0.13154,-0.18939,-0.029305,0.06134,-0.0030112,0.0051337,-0.090564,-0.00175,-0.0049996,-0.02786,0.027136,-0.026291,0.0098582,-0.0067506,-0.0014048,0.0034909,-0.005626,0.01826,0.0021981,-0.0036312
Europe,Russian,EUR,russian,-0.13199,-0.18926,-0.021863,0.068823,-0.004907,0.0043614,-0.091342,-0.0048485,-0.0050263,-0.025926,0.022845,-0.031425,0.0059744,-0.0028216,0.0024979,0.0019882,-0.006274,0.017521,0.0069612,-0.0082082
Europe,Russian,EUR,russian,-0.12875,-0.19335,-0.023985,0.06735,-0.0053421,0.0045842,-0.086584,-0.0034777,-0.0012912,-0.027163,0.024036,-0.026822,0.0055179,-0.0088538,-0.001138,-0.00094042,-0.0082918,0.02263,-0.0027821,-0.002861
Europe,Russian,EUR,russian,-0.13043,-0.19615,-0.027746,0.066369,-0.0099232,0.00055544,-0.087451,-0.0054614,-0.0060177,-0.030659,0.01962,-0.026858,0.0059212,0.001704,0.0019905,0.001934,-0.0062413,0.015131,0.0026134,-0.0029054
Europe,Russian,EUR,russian,-0.13568,-0.18414,-0.02424,0.068777,-0.0036507,0.0059678,-0.095274,-0.0016043,-0.0086588,-0.031824,0.021407,-0.026392,0.0056497,-0.00069812,-0.0037669,-0.0057882,0.00091301,0.016566,-0.00094001,-0.0070593
Europe,Russian,EUR,russian,-0.13263,-0.19591,-0.023213,0.073141,-0.0087088,0.0054939,-0.088005,-0.0068429,-0.0048211,-0.025842,0.021499,-0.031062,0.0071142,0.00066828,0.0014077,-0.0043028,-0.0074843,0.021301,-0.0103,-0.011763
Europe,Russian,EUR,russian,-0.13015,-0.21749,-0.020351,0.069863,-0.0068522,0.0053435,-0.087058,-0.011637,-0.0058206,-0.0286,0.018093,-0.023828,0.0074211,-0.0003894,-0.0003599,-0.0052492,-0.010329,0.015963,0.0040479,-0.0052227
Europe,Russian,EUR,russian,-0.13079,-0.19375,-0.024373,0.071676,-0.0054561,0.0014969,-0.094674,0.00021705,-0.0021095,-0.027189,0.023546,-0.029842,0.010111,0.0030506,0.0025009,-0.0025825,-0.011194,0.013163,-0.0010492,0.0039154
Europe,Russian,EUR,russian,-0.12787,-0.20199,-0.020099,0.068199,-0.0035117,0.0038071,-0.091855,-0.0069185,-0.0071605,-0.029039,0.021502,-0.026707,0.0054516,-0.0015551,0.0060516,-0.0068203,-0.0087929,0.02466,-0.0042637,-0.0031695
Africa,Mandenka,AFR,mandenka,0.48727,0.05256,-0.0009693,0.0036358,0.00035817,-0.047512,-0.0014024,0.0035086,0.13362,-0.02154,0.034899,0.0049095,-0.0074979,0.0057221,0.0068285,-0.005498,0.010431,-0.010483,0.0022422,0.00072176
Africa,Mandenka,AFR,mandenka,0.47927,0.046915,-0.0024423,0.0025528,0.0043265,-0.033382,0.0015162,0.0023446,0.1284,-0.021024,0.034873,0.0058702,-0.0095683,-0.00094087,0.0087256,-0.00433,0.00056728,-0.0078469,0.00014313,-0.00098321
Africa,Mandenka,AFR,mandenka,0.47966,0.052534,-0.0031254,0.0020741,0.0038825,-0.05563,0.0024415,-0.00057142,0.1312,-0.014815,0.034208,0.0018139,0.0040301,0.00012005,0.0073014,-0.0038147,0.0036896,-0.0042047,-0.002631,-0.0047083
Africa,Mandenka,AFR,mandenka,0.48512,0.052722,-0.0030993,0.0017723,0.00037228,-0.042354,0.0013706,-0.0014746,0.13008,-0.020511,0.041422,0.0041043,-0.0079148,0.0025577,0.012527,0.0008854,0.00055985,-0.011353,-0.003266,-0.0019028
Africa,Mandenka,AFR,mandenka,0.48236,0.050743,0.00075253,0.0019828,0.0026736,-0.04761,0.0031808,0.0073061,0.12539,-0.02083,0.035167,0.0050142,-0.0037382,0.0017524,0.015067,-0.0024064,0.0052219,-0.0036716,-0.0017066,-0.0057264
Africa,Mandenka,AFR,mandenka,0.48139,0.049822,-0.004937,0.0032185,0.0085755,-0.055036,-0.0010271,0.002215,0.12308,-0.01056,0.041107,0.0071679,-0.0078249,0.00027137,0.0064646,-0.0068828,0.0071678,-0.0051089,0.003745,0.00074216
Africa,Mandenka,AFR,mandenka,0.48456,0.051274,-0.0045387,0.0030572,0.00052421,-0.042095,-0.00028482,0.00093649,0.13003,-0.023415,0.030786,0.0035222,-0.014578,0.00097397,0.0083562,-0.00098575,0.013663,-0.0057627,-0.0070276,-0.00073228
Africa,Mandenka,AFR,mandenka,0.47743,0.050256,-0.0032028,0.004341,-0.00094735,-0.040367,0.0022716,0.006199,0.13371,-0.021913,0.029676,0.00077399,-0.014632,0.0043236,0.015938,-0.0082137,0.0075607,-0.0089589,-0.00065315,0.0049788
Africa,Mandenka,AFR,mandenka,0.48401,0.05097,0.0016533,0.0035774,0.0050266,-0.048411,-0.0048073,-0.0013182,0.13074,-0.016454,0.036812,0.0087474,-0.0047911,-0.0017803,0.0082698,-0.00476,0.0050264,-0.0086458,-0.0040852,0.0044458
Africa,Mandenka,AFR,mandenka,0.47795,0.051821,-0.0030504,0.0075932,0.0072876,-0.048804,-0.0042813,-0.0001456,0.10298,-0.014151,0.028413,0.0040947,-0.0034053,-0.00020681,0.0024239,-0.0049129,-2.5088e-05,-0.0013553,-0.0015599,-0.00014813
Africa,Mandenka,AFR,mandenka,0.4793,0.051377,-0.002159,4.2539e-07,0.00026935,-0.04473,-6.6561e-05,0.003482,0.12343,-0.01472,0.034478,0.0041784,-0.01553,0.0018889,0.017091,-0.0042592,-0.00068812,-0.0060023,-0.004044,0.0012576
Africa,Mandenka,AFR,mandenka,0.47391,0.046603,-0.005131,0.0042457,0.0015655,-0.051101,0.00032821,0.0044572,0.12664,-0.02096,0.030754,0.0038373,-0.010014,0.0011884,0.0098109,-0.0014711,0.0033115,-0.0063686,-0.0064901,-0.0039893
Africa,Mandenka,AFR,mandenka,0.47573,0.045781,-0.0058133,0.0043474,0.0091453,-0.058945,-0.0016529,0.0030353,0.12237,-0.015579,0.034972,0.007472,-0.013224,-0.0028011,0.014472,-0.0059482,0.0036524,-0.0020287,-0.0039246,0.005575
Africa,Mandenka,AFR,mandenka,0.46801,0.041085,-0.00308,0.0071308,-0.0016808,-0.049791,0.0059876,0.0027329,0.1191,-0.020031,0.032008,-0.00035282,-0.0050322,-0.0011132,0.01965,-0.0046845,-0.0035533,-0.0032357,-0.008054,-0.010643
Africa,Mandenka,AFR,mandenka,0.48488,0.054611,-0.0013835,0.0047952,0.0046147,-0.050993,0.0026902,0.0067612,0.13879,-0.029247,0.038049,-0.0010708,-0.0081349,-0.002471,0.008044,-0.0032037,-0.0018075,-0.010799,0.00094547,-0.0078581
Africa,Yoruba,AFR,yoruba,0.49621,0.058603,-0.0016031,-0.0010996,0.0037364,-0.031143,-0.0070975,-0.00089383,-0.057326,-0.0025926,-0.054127,-0.01813,0.029054,0.0020715,-0.00094761,0.0060766,-0.0021287,-0.00016665,-0.0079485,-0.010617
Africa,Yoruba,AFR,yoruba,0.49697,0.05888,-0.0034652,-0.0009534,0.005025,-0.024699,-0.01149,0.00053163,-0.06485,0.0003121,-0.04652,-0.011441,0.019675,0.0048322,0.0054341,-0.00036541,-0.0091049,-0.0030095,-0.0069096,-0.0077416
Africa,Yoruba,AFR,yoruba,0.49607,0.059042,-0.0035567,0.00096013,0.0054573,-0.027461,-0.0068544,0.0013727,-0.058079,-0.0081167,-0.037617,-0.011224,0.022139,0.0016838,0.0027571,0.0075452,-0.0015138,-0.0031773,0.0021056,-0.0037697
Africa,Yoruba,AFR,yoruba,0.49681,0.057112,-0.0007353,0.0064261,0.0047693,-0.024393,-0.0072769,0.0033977,-0.055987,-0.0046666,-0.047147,-0.015736,0.013079,-0.0018491,-0.0017246,0.0097901,-0.00091106,-0.0038548,-0.0098247,-0.012766
Africa,Yoruba,AFR,yoruba,0.49814,0.057144,-0.0018931,-0.00064993,-0.00042263,-0.023041,-0.0071307,0.0019509,-0.053228,-0.0097777,-0.05211,-0.017882,0.02311,0.0022748,0.0032416,0.0076216,-0.0045174,-0.00030153,-0.0011182,-0.0031657
Africa,Yoruba,AFR,yoruba,0.49493,0.059711,-0.0048714,-5.7395e-05,0.0062,-0.042673,-0.0064462,-0.0049952,-0.048996,0.001008,-0.051743,-0.012502,0.022239,0.0014431,-0.0045658,0.012594,-0.0058364,0.0020461,0.0035099,0.0034451
Africa,Yoruba,AFR,yoruba,0.49762,0.054719,-0.00213,-0.0038316,0.0043916,-0.031909,-0.012735,0.0034357,-0.041805,-0.0002418,-0.047876,-0.012231,0.014344,0.004647,0.0062758,0.0073572,0.0044954,0.00013352,-0.00051319,0.0052182
Africa,Yoruba,AFR,yoruba,0.49816,0.056268,-0.0038921,0.0023103,0.0055252,-0.031178,-0.010789,-0.0014508,-0.051506,-0.0017867,-0.050876,-0.014877,0.020812,-0.0013531,-0.0075758,0.0071485,-0.0025837,0.0012382,-0.007102,-0.0085486
Africa,Yoruba,AFR,yoruba,0.49512,0.056978,-0.0021556,0.0027069,0.00595,-0.030746,-0.0034922,-0.0015956,-0.044326,-0.0068688,-0.036473,-0.01023,0.018596,-0.0016192,0.004385,0.010403,-0.0038189,0.0029176,-0.0023688,-0.0034191
Africa,Yoruba,AFR,yoruba,0.49771,0.057514,-0.0011342,0.0010634,0.003845,-0.029107,-0.0092994,0.0012777,-0.04716,-0.0051971,-0.044793,-0.0093678,0.013378,0.0034207,0.002486,0.0075848,0.0015946,0.0010222,-0.003842,-0.0033724
Africa,Yoruba,AFR,yoruba,0.49748,0.055579,-0.0037947,0.0012319,0.0053594,-0.035104,-0.010712,-0.00055501,-0.05353,-0.0018466,-0.041315,-0.012814,0.022284,0.0040753,-0.0037837,0.010945,0.0017544,0.0030433,-0.0057104,-0.011058
Africa,Yoruba,AFR,yoruba,0.49955,0.055853,-0.0039495,0.0019911,0.0030718,-0.033389,-0.011935,-0.0048897,-0.031384,-0.0050389,-0.033135,-0.010852,0.016849,-0.0037634,-0.0062035,0.0047352,-0.00016415,-0.0015113,-0.00038633,0.0029843
Africa,Yoruba,AFR,yoruba,0.49618,0.058829,-0.0015651,0.0014827,0.0044571,-0.034626,-0.0071534,-0.0024649,-0.041184,-0.0050787,-0.044738,-0.016691,0.0064049,-0.0020463,0.0094887,0.012313,-0.0033969,0.0061176,-0.0023804,-0.0056836
Africa,Yoruba,AFR,yoruba,0.49904,0.056457,-0.0030713,0.00096654,0.0071942,-0.0308,-0.00557,0.0011939,-0.043318,-0.0076029,-0.05039,-0.015223,0.013621,-0.0021513,-0.006522,0.008253,-0.0063188,0.0074741,0.0007324,-0.0021251
Africa,Yoruba,AFR,yoruba,0.49914,0.058061,-0.005354,-0.0042204,0.0041232,-0.027704,-0.0069384,0.0022279,-0.048065,-0.0091428,-0.052139,-0.019368,0.019121,-0.0085362,-0.0052967,0.0088277,-0.00077963,0.0031961,-0.0089531,-0.010121
Africa,Yoruba,AFR,yoruba,0.49504,0.056984,-0.0064725,-0.0024911,0.0068886,-0.028703,-0.0066123,0.0034245,-0.049978,0.0027168,-0.055413,-0.016332,0.016827,-0.001716,-0.00032051,0.012993,-0.0022295,0.003795,-0.0016966,-0.011337
Africa,Yoruba,AFR,yoruba,0.49398,0.055772,-0.0013254,-0.0008609,0.0069419,-0.027855,-0.0079674,-0.00056273,-0.054307,-0.0016217,-0.049409,-0.020491,0.0154,-0.0003749,-0.0018341,0.0086747,0.0015522,0.00086424,-0.002155,-0.0012463
Africa,Yoruba,AFR,yoruba,0.49502,0.057222,-0.0033462,-0.0015512,0.0034112,-0.03752,-0.0098605,0.000679,-0.041472,-0.00079683,-0.040215,-0.01151,0.015687,0.0024436,0.0040739,0.0048933,0.0053875,0.0048787,-0.0053207,-0.0027479
East_Asia,Yakut,EAS,yakut,-0.18398,0.21742,-0.029663,0.02615,0.0047908,0.011581,-0.067342,0.16857,-0.00030554,-0.032449,0.029911,-0.11269,0.0074781,-0.044538,0.035591,0.1739,0.030137,-0.10197,-0.014411,0.020033
East_Asia,Yakut,EAS,yakut,-0.18748,0.21684,-0.029025,0.034707,0.0093713,0.004829,-0.070596,0.17483,0.0012499,-0.023346,0.036921,-0.11151,0.015414,-0.048847,0.02638,0.15791,0.021308,-0.10156,-0.0020673,0.018254
East_Asia,Yakut,EAS,yakut,-0.17868,0.20215,-0.030956,0.030449,0.0065309,0.015018,-0.07296,0.16524,-0.0034151,-0.033534,0.026392,-0.11526,0.0068886,-0.044028,0.038708,0.15924,0.022156,-0.094211,-0.0015494,0.017041
East_Asia,Yakut,EAS,yakut,-0.17816,0.18953,-0.026612,0.029788,0.00055105,0.01185,-0.070971,0.15584,-0.0012652,-0.033935,0.030888,-0.11067,0.010323,-0.04295,0.030044,0.16288,0.031088,-0.094245,-0.0023847,0.02487
East_Asia,Yakut,EAS,yakut,-0.17257,0.10173,-0.02723,0.037811,0.0071086,0.0059259,-0.072532,0.11747,-0.0060927,-0.029901,0.029291,-0.076532,0.010258,-0.039228,0.017778,0.11346,0.011945,-0.06545,-0.003857,0.012646
East_Asia,Yakut,EAS,yakut,-0.18537,0.1776,-0.028921,0.034508,0.011055,0.0041833,-0.077974,0.15921,-0.0022623,-0.031873,0.034081,-0.10267,0.011536,-0.042959,0.031659,0.15315,0.02617,-0.087567,-0.0021357,0.022117
East_Asia,Yakut,EAS,yakut,-0.18743,0.20836,-0.030144,0.03248,0.0071734,0.0046296,-0.070319,0.15854,-0.0018019,-0.025192,0.02679,-0.10243,0.0082815,-0.046832,0.031922,0.14984,0.029943,-0.087744,0.0040748,0.025423
East_Asia,Yakut,EAS,yakut,-0.16785,0.091656,-0.030934,0.03694,0.0011984,0.0041274,-0.082181,0.11565,-0.0018284,-0.027805,0.029425,-0.082727,0.0051891,-0.038177,0.022125,0.10872,0.012738,-0.058387,-0.00068159,0.0051468
